lat,lon,radius_km,
44.428,-123.277,1,
45.355,-123.216,1,
49.134,-123.026,1,
45.653,-122.828,1,
44.985,-122.82,1,
48.465,-122.36,1,
49.017,-122.27,1,
47.831,-121.987,1,
48.538,-121.757,1,
36.642,-121.614,1,
36.864,-121.411,1,
37.934,-121.306,1,
36.221,-121.127,1,
35.644,-120.657,1,
46.577,-120.483,1,
46.942,-120.444,1,
47.413,-120.301,1,
46.329,-120.027,1,
36.534,-120.024,1,
46.753,-119.933,1,
47.16,-119.852,1,
46.731,-119.248,1,
35.433,-119.064,1,
46.255,-118.931,1,
46.826,-118.386,1,
44.174,-116.955,1,
43.668,-116.712,1,
43.362,-116.635,1,
43.051,-116.206,1,
43.13,-115.718,1,
32.784,-115.536,1,
32.978,-115.521,1,
42.953,-114.712,1,
42.547,-114.419,1,
52.304,-114.401,1,
52.644,-114.223,1,
51.798,-114.103,1,
42.388,-114.04,1,
53.285,-114.025,1,
42.484,-113.912,1,
49.497,-113.867,1,
50.591,-113.826,1,
51.591,-113.496,1,
50.217,-113.371,1,
52.957,-113.371,1,
50.981,-113.224,1,
53.753,-112.776,1,
52.319,-112.687,1,
54.114,-112.552,1,
33.455,-112.479,1,
50.406,-112.479,1,
44.203,-112.372,1,
53.5,-112.063,1,
41.535,-112.062,1,
33.074,-111.974,1,
43.547,-111.963,1,
52.844,-111.874,1,
42.578,-111.731,1,
50.057,-111.678,1,
32.953,-111.523,1,
49.483,-111.464,1,
53.991,-111.272,1,
44.027,-111.242,1,
53.349,-110.833,1,
52.011,-110.764,1,
52.41,-110.316,1,
53.277,-109.96,1,
53.544,-109.462,1,
52.434,-109.146,1,
51.474,-109.123,1,
50.734,-108.756,1,
54.126,-108.452,1,
49.644,-108.409,1,
52.749,-108.255,1,
51.939,-108.018,1,
50.286,-107.865,1,
52.724,-107.345,1,
51.489,-107.046,1,
50.118,-106.96,1,
52.204,-106.711,1,
49.641,-106.008,1,
51.251,-105.975,1,
53.13,-105.807,1,
50.423,-105.624,1,
51.667,-105.454,1,
52.203,-105.089,1,
52.95,-105.034,1,
40.524,-104.556,1,
51.407,-104.539,1,
50.449,-104.525,1,
47.72,-104.19,1,
42.058,-104.171,1,
52.843,-104.067,1,
46.92,-104.001,1,
49.667,-103.899,1,
40.255,-103.859,1,
41.867,-103.693,1,
39.941,-103.594,1,
46.178,-103.38,1,
52.593,-103.253,1,
40.596,-103.224,1,
49.157,-103.029,1,
50.108,-102.835,1,
46.888,-102.728,1,
40.119,-102.711,1,
46.001,-102.639,1,
51.535,-102.528,1,
51.175,-102.449,1,
52.842,-102.378,1,
39.302,-102.299,1,
40.588,-102.286,1,
49.388,-101.869,1,
46.403,-101.849,1,
39.759,-101.779,1,
38.884,-101.752,1,
39.336,-101.721,1,
46.704,-101.71,1,
50.157,-101.673,1,
40.515,-101.63,1,
51.229,-101.377,1,
48.212,-101.24,1,
52.105,-101.224,1,
39.363,-101.043,1,
37.982,-100.905,1,
38.489,-100.898,1,
39.12,-100.856,1,
46.823,-100.851,1,
41.151,-100.799,1,
40.216,-100.649,1,
45.834,-100.644,1,
50.445,-100.599,1,
48.458,-100.597,1,
49.485,-100.536,1,
39.358,-100.443,1,
40.768,-100.034,1,
49.818,-99.963,1,
47.75,-99.921,1,
39.016,-99.887,1,
49.185,-99.654,1,
50.227,-99.497,1,
43.803,-99.494,1,
48.539,-99.374,1,
40.132,-99.37,1,
37.711,-99.324,1,
47.454,-99.137,1,
44.53,-98.988,1,
38.712,-98.912,1,
43.383,-98.854,1,
38.331,-98.847,1,
48.084,-98.815,1,
37.665,-98.716,1,
48.573,-98.677,1,
45.386,-98.412,1,
40.563,-98.403,1,
40.891,-98.38,1,
49.976,-98.345,1,
39.483,-98.111,1,
43.703,-98.067,1,
40.02,-98.052,1,
41.098,-98.03,1,
40.873,-98.024,1,
49.194,-98.023,1,
37.997,-97.939,1,
48.399,-97.754,1,
39.803,-97.456,1,
43.339,-97.422,1,
37.659,-97.381,1,
42.881,-97.356,1,
49.991,-97.276,1,
50.998,-97.251,1,
44.006,-97.147,1,
39.38,-97.055,1,
42.235,-96.999,1,
38.681,-96.932,1,
43.543,-96.803,1,
44.327,-96.753,1,
49.556,-96.69,1,
40.404,-96.645,1,
40.876,-96.643,1,
39.843,-96.61,1,
41.451,-96.543,1,
50.308,-96.513,1,
43.199,-96.316,1,
43.642,-96.216,1,
40.977,-96.179,1,
42.028,-96.119,1,
42.999,-96.072,1,
42.588,-95.958,1,
40.174,-95.933,1,
49.784,-95.878,1,
43.994,-95.772,1,
43.632,-95.582,1,
39.855,-95.525,1,
42.333,-95.439,1,
37.948,-95.408,1,
40.771,-95.383,1,
42.005,-95.365,1,
41.477,-95.343,1,
42.663,-95.205,1,
43.114,-95.162,1,
43.907,-95.054,1,
45.08,-95.041,1,
37.171,-94.839,1,
43.4,-94.808,1,
44.283,-94.725,1,
42.399,-94.616,1,
42.52,-94.539,1,
41.303,-94.486,1,
42.952,-94.44,1,
38.568,-94.348,1,
37.868,-94.346,1,
40.71,-94.259,1,
42.034,-94.247,1,
42.745,-94.228,1,
43.293,-94.222,1,
45.971,-94.116,1,
45.58,-94.102,1,
44.183,-94.035,1,
42.994,-93.956,1,
45.154,-93.846,1,
37.095,-93.814,1,
41.357,-93.616,1,
43.665,-93.581,1,
43.147,-93.299,1,
42.008,-92.918,1,
44.687,-92.812,1,
42.91,-92.809,1,
44.022,-92.742,1,
43.009,-92.317,1,
41.336,-92.19,1,
44.159,-92.179,1,
43.634,-92.143,1,
43.37,-92.129,1,
41.92,-92.082,1,
32.703,-92.012,1,
44.776,-91.958,1,
44.069,-91.94,1,
42.938,-91.816,1,
34.78,-91.762,1,
32.495,-91.758,1,
42.448,-91.733,1,
30.937,-91.712,1,
31.602,-91.692,1,
33.059,-91.573,1,
40.982,-91.542,1,
42.864,-91.4,1,
34.293,-91.386,1,
33.605,-91.384,1,
39.957,-91.378,1,
41.657,-91.248,1,
32.371,-91.2,1,
34.918,-91.194,1,
38.978,-91.003,1,
36.218,-90.96,1,
39.604,-90.863,1,
42.457,-90.677,1,
36.071,-90.651,1,
40.459,-90.629,1,
42.053,-90.399,1,
33.967,-90.375,1,
34.669,-90.374,1,
36.766,-90.349,1,
39.334,-90.211,1,
36.247,-90.066,1,
39.858,-90.042,1,
40.296,-90.041,1,
34.295,-90.018,1,
40.698,-89.885,1,
38.896,-89.836,1,
39.588,-89.758,1,
38.482,-89.754,1,
41.814,-89.647,1,
41.365,-89.591,1,
39.173,-89.544,1,
44.575,-89.455,1,
36.834,-89.357,1,
33.989,-89.348,1,
39.552,-89.275,1,
38.443,-89.267,1,
35.549,-89.244,1,
40.253,-89.233,1,
45.198,-89.146,1,
36.375,-89.117,1,
39.846,-89.102,1,
41.899,-89.061,1,
40.912,-89.05,1,
38.963,-89.048,1,
34.532,-89.035,1,
42.697,-88.951,1,
41.397,-88.834,1,
39.406,-88.822,1,
41.12,-88.795,1,
40.893,-88.632,1,
36.746,-88.624,1,
40.234,-88.595,1,
38.09,-88.552,1,
36.187,-88.435,1,
40.478,-88.382,1,
36.557,-88.324,1,
38.99,-88.199,1,
44.019,-88.181,1,
45.258,-88.167,1,
37.164,-88.1,1,
41.058,-88.099,1,
40.172,-88.097,1,
38.41,-88.058,1,
41.846,-87.938,1,
44.535,-87.883,1,
30.508,-87.709,1,
31.57,-87.564,1,
36.851,-87.551,1,
31.055,-87.494,1,
40.283,-87.301,1,
41.157,-87.216,1,
37.675,-87.131,1,
36.532,-87.027,1,
31.427,-86.963,1,
38.388,-86.943,1,
37.287,-86.774,1,
41.807,-86.573,1,
40.418,-86.57,1,
31.276,-86.222,1,
41.041,-86.222,1,
41.998,-86.151,1,
43.065,-85.97,1,
42.725,-85.652,1,
40.922,-85.514,1,
43.178,-85.301,1,
44.117,-85.287,1,
30.779,-85.192,1,
39.577,-84.83,1,
42.053,-84.769,1,
43.438,-84.686,1,
41.295,-84.549,1,
40.181,-84.396,1,
31.923,-84.266,1,
44.278,-83.985,1,
39.601,-83.887,1,
31.204,-83.791,1,
43.34,-83.739,1,
40.048,-83.514,1,
31.621,-83.249,1,
30.706,-83.11,1,
40.719,-82.903,1,
43.943,-82.876,1,
43.422,-82.86,1,
29.834,-82.857,1,
42.187,-82.84,1,
32.982,-82.809,1,
32.575,-82.538,1,
42.45,-82.139,1,
33.085,-82.04,1,
42.819,-81.869,1,
32.292,-81.727,1,
44.038,-81.719,1,
33.824,-81.698,1,
32.752,-81.64,1,
43.366,-81.485,1,
44.414,-81.328,1,
42.707,-81.305,1,
43.009,-81.177,1,
44.065,-81.138,1,
32.297,-81.076,1,
43.388,-81.02,1,
33.929,-81.01,1,
32.929,-80.859,1,
41.578,-80.76,1,
33.459,-80.755,1,
43.744,-80.644,1,
42.924,-80.302,1,
33.575,-80.261,1,
34.175,-80.208,1,
33.018,-80.088,1,
41.201,-80.076,1,
44.125,-79.908,1,
41.681,-79.892,1,
43.792,-79.806,1,
34.154,-79.741,1,
33.725,-79.448,1,
34.403,-79.379,1,
43.036,-79.352,1,
40.739,-79.112,1,
44.087,-78.985,1,
44.43,-78.891,1,
35.035,-78.884,1,
43.105,-78.675,1,
34.588,-78.624,1,
42.534,-78.438,1,
44.211,-78.328,1,
35.006,-78.314,1,
35.73,-78.013,1,
34.321,-77.918,1,
42.749,-77.808,1,
36.18,-77.665,1,
43.055,-77.647,1,
35.195,-77.527,1,
44.173,-77.445,1,
35.842,-77.083,1,
35.541,-77.005,1,
36.527,-76.781,1,
45.471,-76.665,1,
36.258,-76.303,1,
35.762,-76.183,1,
44.629,-75.807,1,
45.119,-75.704,1,
45.35,-74.889,1,
45.232,-73.813,1,
46.02,-73.352,1,
45.314,-73.207,1,
44.025,-73.171,1,
44.836,-73.073,1,
45.644,-72.969,1,
45.386,-72.665,1,
46.246,-72.58,1,
48.85,-72.484,1,
46.556,-72.483,1,
46.044,-71.972,1,
45.737,-71.807,1,
45.363,-71.79,1,
48.522,-71.653,1,
46.714,-71.637,1,
46.376,-71.587,1,
45.911,-71.364,1,
48.51,-71.275,1,
45.595,-70.912,1,
47.351,-70.078,1,
47.816,-69.495,1,
47.985,-68.676,1,
47.548,-68.646,1,
48.514,-68.461,1,
46.979,-67.738,1,
48.467,-67.437,1,
44.985,-64.988,1,
45.137,-64.436,1,
46.702,-64.23,1,
45.052,-63.476,1,
45.378,-63.323,1,
46.178,-62.895,1,
46.371,-62.209,1,
-20.824,-49.368,1,
-20.339,-49.195,1,
-21.148,-49.001,1,
-20.014,-48.935,1,
-20.936,-48.481,1,
-19.921,-48.377,1,
-21.367,-48.242,1,
-21.787,-48.206,1,
-20.333,-47.778,1,
-21.196,-47.759,1,
53.866,-9.291,1,
38.726,-9.159,1,
39.407,-9.135,1,
52.061,-9.056,1,
42.184,-8.813,1,
51.75,-8.718,1,
40.181,-8.679,1,
37.099,-8.668,1,
54.05,-8.604,1,
41.106,-8.589,1,
41.912,-8.56,1,
39.471,-8.474,1,
40.576,-8.447,1,
43.068,-8.412,1,
38.721,-8.321,1,
37.835,-8.245,1,
37.232,-8.127,1,
40.653,-7.906,1,
52.508,-7.893,1,
53.725,-7.874,1,
53.081,-7.873,1,
38.459,-7.752,1,
54.506,-7.689,1,
37.647,-7.66,1,
41.693,-7.658,1,
37.132,-7.641,1,
54.937,-7.572,1,
39.819,-7.512,1,
56.954,-7.501,1,
57.473,-7.364,1,
55.028,-7.245,1,
38.209,-7.228,1,
40.17,-7.176,1,
53.138,-7.053,1,
52.344,-7.049,1,
37.437,-6.894,1,
56.5,-6.881,1,
37.306,-6.872,1,
41.807,-6.764,1,
41.343,-6.713,1,
42.051,-6.637,1,
38.891,-6.61,1,
42.551,-6.582,1,
52.519,-6.559,1,
40.59,-6.538,1,
53.856,-6.537,1,
39.451,-6.489,1,
54.367,-6.475,1,
