lat,lon,radius_km
57.005,9.813,1
59.24,24.511,1
50.734,-108.756,1
45.386,-98.412,1
49.017,-122.27,1
38.714,-4.171,1
42.534,-78.438,1
41.7,-6.352,1
52.789,-4.741,1
-35.993,148.784,1
32.575,-82.538,1
44.514,26.306,1
41.849,-1.931,1
37.303,13.597,1
40.576,-8.447,1
42.057,13.587,1
41.216,-2.274,1
46.727,19.18,1
39.669,140.156,1
39.032,-1.888,1
43.928,2.201,1
38.41,-88.058,1
-34.95,117.81,1
38.38,-4.977,1
52.153,1.603,1
43.665,-93.581,1
44.107,4.091,1
43.994,25.378,1
38.899,-0.497,1
44.985,-64.988,1
61.345,16.065,1
49.388,-101.869,1
44.125,-79.908,1
37.723,-1.112,1
46.908,4.98,1
40.132,-99.37,1
37.416,-1.889,1
43.438,-84.686,1
48.522,-71.653,1
48.251,9.756,1
43.533,23.797,1
44.069,-91.94,1
42.819,-81.869,1
54.426,24.022,1
38.209,-7.228,1
44.038,-81.719,1
51.677,-0.559,1
65.958,16.206,1
48.256,12.41,1
48.467,-67.437,1
48.894,10.695,1
41.246,16.31,1
51.689,-5.079,1
-32.785,152.086,1
51.573,8.312,1
49.29,10.564,1
37.028,-4.537,1
45.198,-89.146,1
-36.295,142.027,1
51.057,-4.2,1
42.368,13.35,1
-21.787,-48.206,1
50.998,-97.251,1
-34.351,146.903,1
-30.521,151.675,1
53.856,-6.537,1
51.916,0.962,1
59.861,19.125,1
56.91,-5.849,1
66.318,18.125,1
58.483,16.963,1
50.287,2.808,1
55.548,8.655,1
-37.283,142.931,1
40.207,-5.083,1
42.388,-114.04,1
53.127,5.485,1
47.537,-2.403,1
43.776,142.459,1
43.778,142.46,1
53.251,-3.48,1
49.641,-106.008,1
42.846,13.621,1
41.213,15.641,1
-29.324,151.093,1
39.334,-90.211,1
43.243,143.55,1
44.027,-111.242,1
42.457,-6.055,1
42.071,14.462,1
38.378,23.417,1
40.253,-89.233,1
31.055,-87.494,1
39.588,-89.758,1
56.257,8.79,1
40.873,-98.024,1
46.975,4.306,1
47.499,3.926,1
41.477,-95.343,1
47.68,1.329,1
40.664,-4.678,1
50.759,3.445,1
52.79,14.043,1
43.192,24.686,1
35.433,-119.064,1
47.476,17.956,1
-37.249,141.842,1
-37.559,143.855,1
54.404,-5.901,1
-28.873,153.564,1
54.856,-6.259,1
43.293,-94.222,1
51.75,-8.718,1
50.065,3.197,1
47.997,3.616,1
56.954,-7.501,1
52.338,9.545,1
52.048,13.491,1
56.428,12.848,1
-33.43,149.567,1
47.88,9.794,1
49.266,-0.685,1
-32.81,136.059,1
-35.986,142.913,1
33.455,-112.479,1
41.405,2.004,1
40.719,-82.903,1
43.207,0.121,1
-37.759,147.656,1
-27.987,152.995,1
47.57,0.666,1
-24.886,28.304,1
46.92,-104.001,1
-36.346,146.658,1
29.834,-82.857,1
-36.676,149.842,1
39.483,-98.111,1
36.35,-5.819,1
57.473,-7.364,1
52.006,5.637,1
44.835,0.493,1
51.318,5.339,1
-36.431,150.076,1
-28.227,28.311,1
-35.94,142.415,1
-28.724,29.348,1
45.154,-93.846,1
51.809,22.657,1
52.448,-1.75,1
59.088,16.212,1
51.939,-108.018,1
-26.739,31.876,1
43.815,144.129,1
44.077,16.837,1
41.83,0.313,1
-32.412,151.652,1
43.907,-95.054,1
53.081,-7.873,1
45.102,23.596,1
47.433,8.244,1
34.175,-80.208,1
48.275,8.656,1
52.661,11.559,1
-30.102,148.964,1
43.377,145.136,1
32.292,-81.727,1
47.483,-1.749,1
53.777,-3.035,1
-31.654,150.245,1
52.042,4.546,1
-33.867,144.886,1
44.173,-77.445,1
-27.709,25.563,1
-29.063,26.133,1
45.297,14.138,1
41.92,-92.082,1
43.122,27.32,1
-31.106,138.707,1
-37.677,144.442,1
37.232,-8.127,1
-37.681,145.064,1
-36.544,146.006,1
44.985,20.777,1
57.247,17.059,1
48.509,-4.106,1
51.609,5.667,1
49.407,5.745,1
-37.712,142.841,1
-36.912,149.237,1
-36.34,142.668,1
-34.438,148.702,1
41.479,12.865,1
-31.512,150.641,1
57.715,12.891,1
51.609,9.262,1
53.579,6.666,1
46.114,16.891,1
-36.136,143.723,1
41.693,-7.658,1
-27.379,26.624,1
49.179,6.473,1
49.453,9.655,1
57.007,-3.396,1
43.679,27.093,1
45.614,25.677,1
-30.38,150.607,1
51.304,4.629,1
44.629,-75.807,1
-34.529,20.046,1
-35.446,149.785,1
51.953,-3.382,1
55.06,8.822,1
41.535,-112.062,1
41.807,-6.764,1
43.409,6.033,1
50.308,-96.513,1
45.267,27.92,1
42.484,-113.912,1
45.726,4.938,1
49.818,-99.963,1
34.918,-91.194,1
-36.031,144.204,1
53.271,19.419,1
44.327,-96.753,1
48.38,-4.497,1
48.465,-122.36,1
33.989,-89.348,1
53.23,8.665,1
50.798,4.359,1
32.978,-115.521,1
50.454,27.126,1
47.247,5.989,1
34.295,-90.018,1
-37.498,148.168,1
51.995,-1.017,1
57.676,-2.961,1
44.464,26.126,1
47.229,19.144,1
42.953,-114.712,1
-28.288,26.152,1
-30.185,151.09,1
54.05,-8.604,1
41.588,-3.068,1
-30.526,117.175,1
42.347,-3.687,1
51.181,14.167,1
39.302,-102.299,1
46.457,6.273,1
47.481,19.057,1
53.229,-1.92,1
45.404,27.253,1
46.178,-103.38,1
35.549,-89.244,1
49.724,14.648,1
46.193,27.444,1
39.451,-6.489,1
39.479,-6.342,1
41.36,-1.21,1
46.389,16.416,1
44.197,27.348,1
-34.239,19.433,1
43.792,-79.806,1
44.579,11.385,1
50.218,-5.327,1
-29.736,30.516,1
55.425,-5.602,1
43.075,10.683,1
45.428,9.644,1
-33.288,146.366,1
43.068,-8.412,1
43.211,2.327,1
37.597,-0.974,1
51.531,-3.107,1
54.895,-2.938,1
41.198,14.023,1
52.508,-7.893,1
53.866,-9.291,1
44.919,8.688,1
-21.148,-49.001,1
54.372,-1.725,1
-30.954,148.378,1
-27.084,152.952,1
39.819,-7.512,1
36.532,-87.027,1
40.59,-6.538,1
43.668,-116.712,1
40.637,17.554,1
46.224,15.298,1
46.269,-0.226,1
45.453,8.925,1
-33.363,19.31,1
46.253,24.181,1
49.685,18.353,1
-30.304,153.137,1
44.901,5.004,1
46.835,-1.838,1
49.224,12.676,1
50.323,17.427,1
48.103,-1.4,1
48.9,5.525,1
50.067,12.391,1
51.07,19.75,1
51.345,-2.623,1
44.019,-88.181,1
51.149,-1.438,1
47.101,28.863,1
42.45,-82.139,1
36.834,-89.357,1
35.294,136.647,1
49.065,-0.291,1
-34.456,149.473,1
-38.342,143.585,1
-31.83,149.715,1
52.359,-1.331,1
39.38,-97.055,1
-29.543,148.586,1
-36.592,144.798,1
37.171,-94.839,1
39.577,-84.83,1
-27.526,153.267,1
50.772,15.06,1
35.006,-78.314,1
52.847,8.088,1
-37.914,145.129,1
48.738,-0.551,1
-31.333,149.27,1
48.538,-121.757,1
-30.465,147.688,1
-33.085,147.151,1
51.535,-102.528,1
52.011,-110.764,1
37.916,-4.721,1
43.946,0.361,1
39.363,-101.043,1
-34.807,145.88,1
35.762,-76.183,1
33.929,-81.01,1
-36.235,149.127,1
45.115,1.222,1
44.206,28.616,1
45.363,-71.79,1
32.953,-111.523,1
43.065,-85.97,1
-29.581,152.774,1
47.977,0.893,1
37.857,-4.793,1
-36.194,147.903,1
44.549,27.431,1
44.541,15.388,1
40.181,-84.396,1
40.768,-100.034,1
50.04,15.783,1
47.667,-3.029,1
-32.17,25.604,1
50.102,13.729,1
43.37,-92.129,1
41.098,-98.03,1
50.504,2.037,1
53.096,-2.394,1
42.517,-2.929,1
34.78,-91.762,1
43.634,-92.143,1
39.407,-9.135,1
47.454,-99.137,1
44.428,-123.277,1
45.258,-88.167,1
42.994,-93.956,1
-28.866,153.048,1
46.706,20.148,1
47.871,4.579,1
-37.599,141.395,1
49.41,14.68,1
41.887,12.19,1
-34.639,148.026,1
39.803,-97.456,1
40.922,-85.514,1
47.128,24.708,1
53.813,8.711,1
47.868,5.641,1
49.046,-1.002,1
-33.831,148.702,1
51.904,14.759,1
52.803,22.31,1
45.803,24.274,1
44.125,24.597,1
56.514,15.153,1
53.345,-2.64,1
50.017,15.899,1
46.889,2.59,1
33.575,-80.261,1
-32.249,148.602,1
48.553,-1.725,1
51.986,4.388,1
49.134,-123.026,1
48.144,21.892,1
42.005,-95.365,1
50.934,3.4,1
47.35,21.553,1
34.293,-91.386,1
-37.341,144.132,1
47.548,-68.646,1
46.888,-102.728,1
34.403,-79.379,1
45.911,-71.364,1
49.001,6.839,1
-35.532,144.965,1
47.914,8.568,1
49.885,13.263,1
46.825,12.819,1
53.663,17.037,1
51.099,6.719,1
-30.35,152.713,1
55.376,23.88,1
-29.053,23.77,1
50.095,4.595,1
44.445,25.941,1
43.223,25.763,1
-37.459,147.251,1
44.627,22.647,1
52.252,-2.198,1
55.627,-3.736,1
44.203,-112.372,1
42.457,-90.677,1
56.464,-2.877,1
-32.012,149.388,1
50.927,0.976,1
48.948,16.159,1
51.251,-105.975,1
48.084,-98.815,1
41.998,-86.151,1
44.776,-91.958,1
49.149,14.63,1
53.649,0.116,1
40.524,-104.556,1
40.532,15.015,1
40.821,0.492,1
42.107,-1.152,1
-36.14,144.754,1
49.648,2.922,1
55.928,-3.344,1
48.169,2.893,1
51.785,9.799,1
56.266,16.479,1
52.304,-114.401,1
42.753,10.211,1
32.784,-115.536,1
46.403,-101.849,1
42.864,-91.4,1
33.824,-81.698,1
49.784,-95.878,1
46.942,-120.444,1
51.613,12.916,1
36.258,-76.303,1
34.588,-78.624,1
36.18,-77.665,1
44.093,143.532,1
56.169,9.335,1
52.519,-6.559,1
39.471,-8.474,1
49.899,1.256,1
46.912,18.264,1
-36.718,144.315,1
52.709,6.943,1
-26.525,29.995,1
39.221,-4.276,1
-36.462,147.24,1
53.632,7.618,1
55.312,-3.207,1
54.864,11.894,1
-33.874,121.894,1
